Number of Time Steps:,1200,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,31-Oct-21,,,,,,,,,,,,,,,,,,,,,,,,
Start Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
End Date:,30-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,
End Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
,Pathnames:,Part A:,Part B:,Part C:,UNITS,Part F:,,Col:,,,,,,,,,,,,,,,,,
,/CALSIM/X2_PRV_KM/X2-POSITION-PREV//1MON/L2020A/,CALSIM,X2_PRV_KM,X2-POSITION-PREV,,L2020A,71,BS,INST-VAL,X2 Position,,,,,,,,,,,,,,,
,/CALSIM/C_DMC003/CHANNEL//1MON/L2020A/,CALSIM,C_DMC003,CHANNEL,TAF,L2020A,72,BT,PER-AVER,Jones Export,,,,,,,,,,,,,,,
,/CALSIM/C_CAA003_SWP/FLOW-DELIVERY//1MON/L2020A/,CALSIM,C_CAA003_SWP,FLOW-DELIVERY,TAF,L2020A,73,BU,PER-AVER,Banks Export SWP,,,,,,,,,,,,,,,
,/CALSIM/C_CAA003_CVP/FLOW-DELIVERY//1MON/L2020A/,CALSIM,C_CAA003_CVP,FLOW-DELIVERY,TAF,L2020A,74,BV,PER-AVER,Banks Export CVP,,,,,,,,,,,,,,,
,/CALSIM/S_SLUIS/STORAGE//1MON/L2020A/,CALSIM,S_SLUIS,STORAGE,,L2020A,75,BW,INST-VAL,SL Storage,,,,,,,,,,,,,,,
,/CALSIM/S_SLUIS_CVP/STORAGE//1MON/L2020A/,CALSIM,S_SLUIS_CVP,STORAGE,,L2020A,75,BW,INST-VAL,CVP SL Storage,,,,,,,,,,,,,,,
,/CALSIM/S_SLUIS_CVPLEVEL1DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_SLUIS_CVPLEVEL1DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,CVP SL Level 1,,,,,,,,,,,,,,,
,/CALSIM/S_SLUIS_CVPLEVEL4DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_SLUIS_CVPLEVEL4DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,CVP SL Level 4,,,,,,,,,,,,,,,
,/CALSIM/S_SLUIS_CVPLEVEL5DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_SLUIS_CVPLEVEL5DV,STORAGE-LEVEL,,L2020A,144,EN,PER-AVER,CVP SL Level 5,,,,,,,,,,,,,,,
,/CALSIM/S_SLUIS_SWP/STORAGE//1MON/L2020A/,CALSIM,S_SLUIS_SWP,STORAGE,,L2020A,76,BX,INST-VAL,SWP SL Storage,,,,,,,,,,,,,,,
